,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,uv_index,is_day
0,2024-12-09 00:00:00+00:00,14.7375,64.0,12.097788,,0.25,1.0
1,2024-12-09 01:00:00+00:00,13.6875,69.0,11.469311,,0.0,0.0
2,2024-12-09 02:00:00+00:00,13.087501,72.0,11.046282,,0.0,0.0
3,2024-12-09 03:00:00+00:00,12.7375,72.0,10.625299,,0.0,0.0
4,2024-12-09 04:00:00+00:00,12.3875,73.0,10.344244,,0.0,0.0
5,2024-12-09 05:00:00+00:00,12.087501,75.0,10.2001295,,0.0,0.0
6,2024-12-09 06:00:00+00:00,11.2875,80.0,9.692966,,0.0,0.0
7,2024-12-09 07:00:00+00:00,10.837501,82.0,9.251415,,0.0,0.0
8,2024-12-09 08:00:00+00:00,10.5375,84.0,8.939167,,0.0,0.0
9,2024-12-09 09:00:00+00:00,10.3875,84.0,8.722799,,0.0,0.0
10,2024-12-09 10:00:00+00:00,10.3875,83.0,8.6479225,,0.05,1.0
11,2024-12-09 11:00:00+00:00,11.3875,76.0,9.6305,,0.7,1.0
12,2024-12-09 12:00:00+00:00,12.7375,70.0,11.025,,2.05,1.0
13,2024-12-09 13:00:00+00:00,13.9875,65.0,12.292385,,3.85,1.0
14,2024-12-09 14:00:00+00:00,15.4875,60.0,14.611994,,5.75,1.0
15,2024-12-09 15:00:00+00:00,16.787498,54.0,15.721136,,7.35,1.0
16,2024-12-09 16:00:00+00:00,17.887499,51.0,16.796917,,8.55,1.0
17,2024-12-09 17:00:00+00:00,18.6875,51.0,17.636461,,9.05,1.0
18,2024-12-09 18:00:00+00:00,19.537498,47.0,18.113632,,8.9,1.0
19,2024-12-09 19:00:00+00:00,19.5875,47.0,17.584106,,8.05,1.0
20,2024-12-09 20:00:00+00:00,19.2375,48.0,16.616438,,6.65,1.0
21,2024-12-09 21:00:00+00:00,18.5875,50.0,15.257427,,4.85,1.0
22,2024-12-09 22:00:00+00:00,17.637499,52.0,14.423031,,2.95,1.0
23,2024-12-09 23:00:00+00:00,16.2875,55.0,13.491997,,1.35,1.0
24,2024-12-10 00:00:00+00:00,15.0375,63.0,12.813293,,0.25,1.0
25,2024-12-10 01:00:00+00:00,13.6875,69.0,11.778809,,0.0,0.0
26,2024-12-10 02:00:00+00:00,12.8875,74.0,11.302763,,0.0,0.0
27,2024-12-10 03:00:00+00:00,12.3875,78.0,10.953417,,0.0,0.0
28,2024-12-10 04:00:00+00:00,12.0375,80.0,10.686268,,0.0,0.0
29,2024-12-10 05:00:00+00:00,11.587501,84.0,10.416934,,0.0,0.0
30,2024-12-10 06:00:00+00:00,11.087501,87.0,9.786041,,0.0,0.0
31,2024-12-10 07:00:00+00:00,10.8875,88.0,9.504608,,0.0,0.0
32,2024-12-10 08:00:00+00:00,10.7875,87.0,9.261486,,0.0,0.0
33,2024-12-10 09:00:00+00:00,10.6375,86.0,9.025809,,0.0,0.0
34,2024-12-10 10:00:00+00:00,10.587501,86.0,9.001928,,0.05,1.0
35,2024-12-10 11:00:00+00:00,11.8875,79.0,10.195805,,0.7,1.0
36,2024-12-10 12:00:00+00:00,13.337501,74.0,11.463669,,2.05,1.0
37,2024-12-10 13:00:00+00:00,14.6875,71.0,13.136528,,3.9,1.0
38,2024-12-10 14:00:00+00:00,16.1875,66.0,15.506155,,5.75,1.0
39,2024-12-10 15:00:00+00:00,17.4875,62.0,16.589348,,7.4,1.0
40,2024-12-10 16:00:00+00:00,18.787498,56.0,17.731684,,8.55,1.0
41,2024-12-10 17:00:00+00:00,19.387499,54.0,18.0407,,9.1,1.0
42,2024-12-10 18:00:00+00:00,19.5875,50.0,17.77166,,8.9,1.0
43,2024-12-10 19:00:00+00:00,19.5875,50.0,17.311878,,8.1,1.0
44,2024-12-10 20:00:00+00:00,19.3375,51.0,16.635262,,6.65,1.0
45,2024-12-10 21:00:00+00:00,18.6875,51.0,15.105238,,4.85,1.0
46,2024-12-10 22:00:00+00:00,17.6875,51.0,13.618019,,3.0,1.0
47,2024-12-10 23:00:00+00:00,16.3375,55.0,13.019936,,1.35,1.0
48,2024-12-11 00:00:00+00:00,15.2375,62.0,12.412781,,0.25,1.0
49,2024-12-11 01:00:00+00:00,14.2875,66.0,11.877674,,0.0,0.0
50,2024-12-11 02:00:00+00:00,13.7375,67.0,11.484288,,0.0,0.0
51,2024-12-11 03:00:00+00:00,13.337501,69.0,11.343333,,0.0,0.0
52,2024-12-11 04:00:00+00:00,12.6875,72.0,11.093394,,0.0,0.0
53,2024-12-11 05:00:00+00:00,11.7375,79.0,10.376347,,0.0,0.0
54,2024-12-11 06:00:00+00:00,10.9375,83.0,9.550657,,0.0,0.0
55,2024-12-11 07:00:00+00:00,10.1875,89.0,8.837491,,0.0,0.0
56,2024-12-11 08:00:00+00:00,9.587501,92.0,8.210564,,0.0,0.0
57,2024-12-11 09:00:00+00:00,9.087501,93.0,7.6707582,,0.0,0.0
58,2024-12-11 10:00:00+00:00,8.837501,94.0,7.3977947,,0.05,1.0
59,2024-12-11 11:00:00+00:00,11.3875,84.0,10.385364,,0.7,1.0
60,2024-12-11 12:00:00+00:00,14.7375,66.0,13.248272,,2.05,1.0
61,2024-12-11 13:00:00+00:00,15.9375,61.0,14.448965,,3.85,1.0
62,2024-12-11 14:00:00+00:00,17.287498,60.0,16.846628,,5.75,1.0
63,2024-12-11 15:00:00+00:00,19.037498,55.0,18.859827,,7.4,1.0
64,2024-12-11 16:00:00+00:00,20.4375,51.0,19.844646,,8.55,1.0
65,2024-12-11 17:00:00+00:00,20.887499,49.0,19.402534,,9.1,1.0
66,2024-12-11 18:00:00+00:00,21.037498,49.0,18.951298,,8.95,1.0
67,2024-12-11 19:00:00+00:00,20.5875,49.0,17.633924,,8.1,1.0
68,2024-12-11 20:00:00+00:00,20.1875,51.0,16.707188,,6.7,1.0
69,2024-12-11 21:00:00+00:00,19.387499,54.0,15.501251,,4.9,1.0
70,2024-12-11 22:00:00+00:00,18.287498,57.0,13.922951,,3.0,1.0
71,2024-12-11 23:00:00+00:00,16.6875,62.0,12.554602,,1.35,1.0
72,2024-12-12 00:00:00+00:00,15.9875,64.0,13.213259,,0.3,1.0
73,2024-12-12 01:00:00+00:00,14.7875,70.0,12.468395,,0.0,0.0
74,2024-12-12 02:00:00+00:00,14.1375,73.0,12.154213,,0.0,0.0
75,2024-12-12 03:00:00+00:00,13.6375,74.0,11.913628,,0.0,0.0
76,2024-12-12 04:00:00+00:00,13.087501,75.0,11.497163,,0.0,0.0
77,2024-12-12 05:00:00+00:00,12.6875,77.0,11.025755,,0.0,0.0
78,2024-12-12 06:00:00+00:00,12.2375,78.0,10.321403,,0.0,0.0
79,2024-12-12 07:00:00+00:00,11.7875,81.0,9.976894,,0.0,0.0
80,2024-12-12 08:00:00+00:00,11.3875,83.0,9.676418,,0.0,0.0
81,2024-12-12 09:00:00+00:00,11.1875,84.0,9.663546,,0.0,0.0
82,2024-12-12 10:00:00+00:00,10.6375,87.0,9.466115,,0.05,1.0
83,2024-12-12 11:00:00+00:00,11.9375,80.0,11.120558,,0.7,1.0
84,2024-12-12 12:00:00+00:00,13.9875,70.0,13.080175,,2.05,1.0
85,2024-12-12 13:00:00+00:00,15.3875,65.0,14.212,,3.85,1.0
86,2024-12-12 14:00:00+00:00,16.787498,61.0,16.38198,,5.75,1.0
87,2024-12-12 15:00:00+00:00,18.4375,55.0,18.048594,,7.45,1.0
88,2024-12-12 16:00:00+00:00,19.9375,51.0,19.675362,,8.6,1.0
89,2024-12-12 17:00:00+00:00,20.4875,51.0,19.498404,,9.15,1.0
90,2024-12-12 18:00:00+00:00,20.637499,49.0,18.584671,,9.0,1.0
91,2024-12-12 19:00:00+00:00,20.387499,50.0,17.683836,,8.15,1.0
92,2024-12-12 20:00:00+00:00,19.9375,54.0,16.86317,,6.75,1.0
93,2024-12-12 21:00:00+00:00,19.1875,58.0,15.597294,,4.95,1.0
94,2024-12-12 22:00:00+00:00,18.387499,62.0,14.626446,,3.05,1.0
95,2024-12-12 23:00:00+00:00,17.137499,69.0,13.853077,,1.4,1.0
96,2024-12-13 00:00:00+00:00,16.537498,72.0,14.092127,,0.3,1.0
97,2024-12-13 01:00:00+00:00,15.7875,76.0,14.04261,,0.0,0.0
98,2024-12-13 02:00:00+00:00,15.1875,79.0,13.924278,,0.0,0.0
99,2024-12-13 03:00:00+00:00,14.5375,82.0,13.65642,,0.0,0.0
100,2024-12-13 04:00:00+00:00,13.6375,86.0,12.988102,,0.0,0.0
101,2024-12-13 05:00:00+00:00,12.837501,90.0,12.322927,,0.0,0.0
102,2024-12-13 06:00:00+00:00,12.0375,92.0,11.434313,,0.0,0.0
103,2024-12-13 07:00:00+00:00,11.337501,95.0,10.671335,,0.0,0.0
104,2024-12-13 08:00:00+00:00,10.8875,95.0,10.057565,,0.0,0.0
105,2024-12-13 09:00:00+00:00,10.7875,95.0,9.912023,,0.0,0.0
106,2024-12-13 10:00:00+00:00,10.7875,94.0,9.898326,,0.05,1.0
107,2024-12-13 11:00:00+00:00,13.1375,85.0,12.527512,,0.7,1.0
108,2024-12-13 12:00:00+00:00,15.2875,74.0,14.275852,,2.05,1.0
109,2024-12-13 13:00:00+00:00,16.637499,69.0,15.767918,,3.85,1.0
110,2024-12-13 14:00:00+00:00,18.0875,66.0,18.064798,,5.75,1.0
111,2024-12-13 15:00:00+00:00,19.5875,60.0,19.884048,,7.45,1.0
112,2024-12-13 16:00:00+00:00,20.7375,55.0,20.69833,,8.6,1.0
113,2024-12-13 17:00:00+00:00,21.1875,54.0,20.403856,,9.15,1.0
114,2024-12-13 18:00:00+00:00,20.9875,55.0,19.68221,,9.0,1.0
115,2024-12-13 19:00:00+00:00,20.5875,53.0,18.315302,,8.15,1.0
116,2024-12-13 20:00:00+00:00,20.2375,53.0,17.494534,,6.75,1.0
117,2024-12-13 21:00:00+00:00,19.7375,54.0,16.397495,,4.95,1.0
118,2024-12-13 22:00:00+00:00,18.9375,53.0,16.040699,,3.05,1.0
119,2024-12-13 23:00:00+00:00,17.787498,54.0,15.117046,,1.4,1.0
120,2024-12-14 00:00:00+00:00,16.537498,62.0,14.583565,,0.3,1.0
121,2024-12-14 01:00:00+00:00,15.1375,69.0,13.622946,,0.0,0.0
122,2024-12-14 02:00:00+00:00,14.2875,75.0,13.08131,,0.0,0.0
123,2024-12-14 03:00:00+00:00,13.587501,80.0,12.534479,,0.0,0.0
124,2024-12-14 04:00:00+00:00,13.0375,83.0,12.059399,,0.0,0.0
125,2024-12-14 05:00:00+00:00,12.587501,86.0,11.678355,,0.0,0.0
126,2024-12-14 06:00:00+00:00,11.4875,92.0,10.724213,,0.0,0.0
127,2024-12-14 07:00:00+00:00,10.5375,95.0,9.673641,,0.0,0.0
128,2024-12-14 08:00:00+00:00,9.8875,97.0,8.993173,,0.0,0.0
129,2024-12-14 09:00:00+00:00,9.7375,96.0,8.736707,,0.0,0.0
130,2024-12-14 10:00:00+00:00,9.837501,95.0,8.867369,,0.05,1.0
131,2024-12-14 11:00:00+00:00,12.1875,88.0,11.761038,,0.7,1.0
132,2024-12-14 12:00:00+00:00,15.587501,79.0,15.74395,,2.05,1.0
133,2024-12-14 13:00:00+00:00,16.9375,72.0,17.119215,,3.85,1.0
134,2024-12-14 14:00:00+00:00,18.037498,67.0,19.097157,,5.75,1.0
135,2024-12-14 15:00:00+00:00,19.137499,59.0,20.546335,,7.4,1.0
136,2024-12-14 16:00:00+00:00,20.4875,53.0,22.254923,,8.6,1.0
137,2024-12-14 17:00:00+00:00,21.8375,47.0,23.467737,,9.15,1.0
138,2024-12-14 18:00:00+00:00,23.037498,40.0,23.475693,,9.05,1.0
139,2024-12-14 19:00:00+00:00,23.387499,39.0,23.359379,,8.2,1.0
140,2024-12-14 20:00:00+00:00,23.1875,41.0,22.816313,,6.8,1.0
141,2024-12-14 21:00:00+00:00,22.4375,43.0,21.120941,,5.0,1.0
142,2024-12-14 22:00:00+00:00,21.287498,47.0,19.45242,,3.1,1.0
143,2024-12-14 23:00:00+00:00,19.7375,51.0,18.074265,,1.4,1.0
144,2024-12-15 00:00:00+00:00,17.8375,59.0,16.7222,,0.3,1.0
145,2024-12-15 01:00:00+00:00,15.6875,71.0,15.233038,,0.0,0.0
146,2024-12-15 02:00:00+00:00,14.4375,79.0,14.247787,,0.0,0.0
147,2024-12-15 03:00:00+00:00,13.337501,87.0,13.120214,,0.0,0.0
148,2024-12-15 04:00:00+00:00,12.5375,93.0,12.276989,,0.0,0.0
149,2024-12-15 05:00:00+00:00,11.9875,95.0,11.597712,,0.0,0.0
150,2024-12-15 06:00:00+00:00,11.5375,95.0,11.062786,,0.0,0.0
151,2024-12-15 07:00:00+00:00,10.9375,96.0,10.362827,,0.0,0.0
152,2024-12-15 08:00:00+00:00,10.5375,96.0,9.9007,,0.0,0.0
153,2024-12-15 09:00:00+00:00,10.337501,96.0,9.699151,,0.0,0.0
154,2024-12-15 10:00:00+00:00,10.6375,94.0,10.036815,,0.05,1.0
155,2024-12-15 11:00:00+00:00,12.9875,88.0,12.888458,,0.7,1.0
156,2024-12-15 12:00:00+00:00,15.2875,76.0,14.8908825,,2.05,1.0
157,2024-12-15 13:00:00+00:00,16.637499,71.0,16.343195,,3.85,1.0
158,2024-12-15 14:00:00+00:00,17.7375,67.0,18.339636,,5.75,1.0
159,2024-12-15 15:00:00+00:00,19.037498,61.0,20.120745,,7.45,1.0
160,2024-12-15 16:00:00+00:00,20.137499,56.0,21.564386,,8.65,1.0
161,2024-12-15 17:00:00+00:00,20.7375,56.0,22.333033,,9.2,1.0
162,2024-12-15 18:00:00+00:00,19.9875,59.0,21.64372,,9.05,1.0
163,2024-12-15 19:00:00+00:00,19.887499,59.0,21.036282,,8.1,1.0
164,2024-12-15 20:00:00+00:00,19.387499,61.0,19.826134,,6.8,1.0
165,2024-12-15 21:00:00+00:00,18.537498,63.0,17.905382,,5.0,1.0
166,2024-12-15 22:00:00+00:00,17.4375,67.0,16.08813,,3.1,1.0
167,2024-12-15 23:00:00+00:00,16.137499,73.0,14.961172,,1.45,1.0
168,2024-12-16 00:00:00+00:00,14.7875,82.0,14.067648,,0.3,1.0
169,2024-12-16 01:00:00+00:00,13.6375,87.0,13.054062,,0.0,0.0
170,2024-12-16 02:00:00+00:00,12.9875,90.0,12.464872,,0.0,0.0
171,2024-12-16 03:00:00+00:00,12.5375,92.0,12.131224,,0.0,0.0
172,2024-12-16 04:00:00+00:00,12.2375,94.0,12.0912,,0.0,0.0
173,2024-12-16 05:00:00+00:00,12.1375,95.0,11.793587,,0.0,0.0
174,2024-12-16 06:00:00+00:00,12.2375,94.0,11.605186,,0.0,0.0
175,2024-12-16 07:00:00+00:00,12.087501,93.0,11.430889,,0.0,0.0
176,2024-12-16 08:00:00+00:00,12.087501,92.0,11.381887,,0.0,0.0
177,2024-12-16 09:00:00+00:00,12.0375,91.0,11.313633,,0.0,0.0
178,2024-12-16 10:00:00+00:00,12.1375,89.0,11.432921,,0.05,1.0
179,2024-12-16 11:00:00+00:00,12.587501,88.0,12.036406,,0.65,1.0
180,2024-12-16 12:00:00+00:00,13.7375,85.0,13.232914,,2.0,1.0
181,2024-12-16 13:00:00+00:00,14.3875,83.0,13.897377,,3.7,1.0
182,2024-12-16 14:00:00+00:00,15.5375,78.0,14.984737,,5.65,1.0
183,2024-12-16 15:00:00+00:00,16.537498,74.0,16.526909,,7.3,1.0
184,2024-12-16 16:00:00+00:00,17.7375,69.0,18.141485,,8.45,1.0
185,2024-12-16 17:00:00+00:00,18.137499,66.0,18.580969,,9.05,1.0
186,2024-12-16 18:00:00+00:00,17.637499,69.0,18.363739,,8.9,1.0
187,2024-12-16 19:00:00+00:00,17.3375,69.0,17.279404,,8.2,1.0
188,2024-12-16 20:00:00+00:00,17.037498,72.0,16.215708,,6.8,1.0
189,2024-12-16 21:00:00+00:00,16.5875,75.0,14.860365,,5.0,1.0
190,2024-12-16 22:00:00+00:00,16.1875,77.0,14.07744,,3.1,1.0
191,2024-12-16 23:00:00+00:00,15.6875,78.0,13.947111,,1.45,1.0
192,2024-12-17 00:00:00+00:00,14.9875,84.0,13.797005,,0.3,1.0
193,2024-12-17 01:00:00+00:00,14.2875,88.0,13.204651,,0.0,0.0
194,2024-12-17 02:00:00+00:00,13.9875,90.0,13.130867,,0.0,0.0
195,2024-12-17 03:00:00+00:00,13.7875,90.0,13.257196,,0.0,0.0
196,2024-12-17 04:00:00+00:00,13.5375,92.0,13.2411785,,0.0,0.0
197,2024-12-17 05:00:00+00:00,13.2875,93.0,13.18671,,0.0,0.0
198,2024-12-17 06:00:00+00:00,12.837501,95.0,12.845228,,0.0,0.0
199,2024-12-17 07:00:00+00:00,12.8875,95.0,12.858906,,0.0,0.0
200,2024-12-17 08:00:00+00:00,12.837501,95.0,12.819588,,0.0,0.0
201,2024-12-17 09:00:00+00:00,12.9375,93.0,12.940418,,0.0,0.0
202,2024-12-17 10:00:00+00:00,12.8875,94.0,12.9512615,,0.05,1.0
203,2024-12-17 11:00:00+00:00,14.0375,88.0,14.052889,,0.65,1.0
204,2024-12-17 12:00:00+00:00,14.7875,86.0,14.558302,,2.0,1.0
205,2024-12-17 13:00:00+00:00,15.4875,82.0,15.09527,,3.8,1.0
206,2024-12-17 14:00:00+00:00,16.6875,76.0,15.991665,,5.7,1.0
207,2024-12-17 15:00:00+00:00,18.3375,68.0,18.563747,,7.4,1.0
